id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42639613,Quebec - Port of Quebec Marina 1,288704300,Yves,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81983,-71.20451,Entire home/apt,439,2,18,2022-10-06,1.16,2,147,16,
42657163,203 - Lofts 1048,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81309,-71.21107,Entire home/apt,266,1,29,2022-12-02,1.24,71,317,16,233564
42684638,"Maison près du Fleuve, 20 minutes downtown",4646399,Mélody,,Cap-Rouge,46.74575,-71.34869,Entire home/apt,171,2,5,2022-08-28,0.74,2,349,5,
42687485,206 - Lofts 1048,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81377,-71.21257,Entire home/apt,272,1,10,2022-11-19,0.38,71,333,6,233564
42754373,205 - Lofts 1048,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81236,-71.21322,Entire home/apt,216,1,29,2021-12-29,1.04,71,0,2,233564
42758792,302 - Lofts 1048,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81283,-71.21268,Entire home/apt,290,1,94,2022-11-18,3.24,71,326,35,233564
42759132,304 - Lofts 1048,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8145,-71.21193,Entire home/apt,284,1,5,2021-04-18,0.20,71,313,0,233564
42759553,305 - Lofts 1048,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81442,-71.21268,Entire home/apt,278,1,8,2022-08-01,0.28,71,334,2,233564
42764055,Un chalet au centre-ville!! (SJB),167054123,Philippe,,Saint-Roch,46.81287,-71.22063,Entire home/apt,100,29,0,,,1,0,0,
42783513,Jolie petite maison ancestrale - 1871,29749497,Geneviève,,Chutes-Montmorency,46.88538,-71.15466,Entire home/apt,147,3,6,2022-10-05,0.63,1,0,6,
42854930,Maison 2 étages avec grand terrain,102133135,Jérôme,,Quartier 5-2,46.88054,-71.20631,Entire home/apt,200,7,0,,,1,0,0,
42858881,"3 pièces+ bureau, Centre ville de Québec!",243469444,Caroline,,Saint-Sauveur,46.80799,-71.24084,Entire home/apt,84,28,15,2022-08-30,2.69,1,326,15,
42912842,"Comfy Room, Strategic Spot!",319684195,Olivier,,Saint-Louis,46.77318,-71.2929,Private room,49,2,0,,,2,0,0,
42939442,Logement entier privé avec balcon,90051175,Jean-Philippe,,Plateau,46.77902,-71.31102,Entire home/apt,58,2,0,,,1,0,0,
42962070,Séjour merveilleux et tout confort ! / Vieux-Qc,342066130,Paul,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81411,-71.20981,Entire home/apt,350,31,0,,,1,365,0,
43095356,QBEDS Hostel -Amazing Location! 12 Beds Mixed Dorm,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8058,-71.21687,Shared room,27,1,248,2022-12-07,8.78,19,359,186,
43095524,QBEDS Hostel - 12 Beds Mixed Dorm+ Private Balcony,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8066,-71.2154,Shared room,27,1,62,2022-11-20,2.11,19,341,38,
43095574,QBEDS Hostel-Amazing location! 4 Beds Room+ Lounge,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80532,-71.2156,Shared room,35,1,29,2022-11-24,1.05,19,306,25,
43095700,QBEDS Hostel - Amazing location! 6 Beds Mixed Dorm,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80683,-71.21598,Shared room,34,1,30,2022-10-16,1.08,19,317,16,
43095742,QBEDS Hostel - Amazing location! 6 Beds Mixed Dorm,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80547,-71.21731,Shared room,34,1,12,2022-10-23,0.72,19,321,10,
43095783,QBEDS Hostel -Amazing location! 8 Beds Mixed Dorm,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80664,-71.21603,Shared room,37,1,41,2022-11-12,2.47,19,323,34,
43095840,QBEDS Hostel - Amazing location! Private Queen,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80667,-71.21596,Private room,72,1,77,2022-11-26,2.60,19,88,41,
43095871,QBEDS Hostel - Amazing location! Private Queen,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80545,-71.21695,Private room,72,1,29,2022-11-25,0.98,19,102,12,
43149470,Chambre pour étudiant ou voyageurs,65406508,Stephanie,,Saint-Sauveur,46.80751,-71.23547,Private room,35,32,0,,,1,87,0,
43170854,Comme neuf à 2 min l'enfant-Jésus et 5 du vieux Qc,28754730,Julie,,Maizerets,46.8371,-71.22232,Entire home/apt,33,33,7,2022-09-22,0.26,10,322,3,
43220219,appartement trés lumineux dans un quartier sympa,1273436,Anthony,,Lairet,46.83094,-71.24257,Entire home/apt,78,2,131,2022-11-06,4.23,3,208,70,
43236651,Vue sur la gare du palais et rue des antiquaires,185080349,Martin,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81696,-71.21434,Entire home/apt,500,32,0,,,2,88,0,
43290459,Cour arrière Lockwell,323465074,Manon,,Saint-Jean-Baptiste,46.80521,-71.22571,Entire home/apt,1500,32,0,,,1,42,0,
43319496,Bright and NEW Condo ! Indoor Parking/Rooftop/Gym,34395338,Catherine,,Saint-Sauveur,46.81152,-71.231323,Entire home/apt,116,1,47,2022-12-01,6.24,1,75,47,
43337575,Magnifique Appt au coeur de la Cité (CITQ# 302082),144753838,Daniel,,Saint-Sacrement,46.79139,-71.2517,Entire home/apt,115,2,20,2022-08-14,1.15,2,74,16,302082
43353428,Chambre(s) privée(s) / St-Sacrement (CITQ#302082),144753838,Daniel,,Sillery,46.79032,-71.25107,Private room,31,2,32,2022-10-09,1.22,2,39,25,CITQ 302082
43389446,Cozy 2 bedroom apartment,14417153,Vicky,,Saint-Sauveur,46.81426,-71.23697,Entire home/apt,115,30,13,2022-10-04,0.44,1,173,10,304440
43448243,Havre de paix #2,103046731,Jean-François,,Vieux-Limoilou,46.82666,-71.24098,Entire home/apt,125,31,5,2022-06-30,0.19,1,165,3,
43472856,Logement à 5 mins de marche du Vieux-Québec,346633766,Mike,,Saint-Jean-Baptiste,46.81152,-71.21985,Entire home/apt,89,2,22,2021-06-22,0.74,1,0,0,
43474200,Logement au Centre de Limoilou (Parking inclus),346642007,Jonathan,,Vieux-Limoilou,46.82434,-71.22762,Entire home/apt,68,2,175,2022-11-18,5.91,1,41,86,
43474540,Logement à 2 min du Vieux Québec,346645499,Oli,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8132,-71.21613,Entire home/apt,79,2,17,2021-06-19,0.57,1,0,0,
43556176,T101 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81416,-71.20525,Entire home/apt,294,1,16,2022-07-02,0.53,71,180,6,289866
43559100,Condo in heart of Old Québec,176085523,Jean-Simon,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81434,-71.20677,Entire home/apt,127,30,3,2022-10-21,0.11,1,272,2,
43566236,T102 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81445,-71.20514,Entire home/apt,282,1,27,2022-07-18,0.95,71,179,11,289866
43566690,T103 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81373,-71.20647,Entire home/apt,270,1,1,2021-03-26,0.05,71,216,0,289866
43567331,T201 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81314,-71.20711,Entire home/apt,306,1,14,2022-11-12,0.46,71,188,5,289866
43575783,T202 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81256,-71.20484,Entire home/apt,294,1,26,2022-10-18,1.04,71,195,13,289866
43576087,T203 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81254,-71.20548,Entire home/apt,282,1,10,2022-06-27,0.35,71,217,5,289866
43576370,T301 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81241,-71.20485,Entire home/apt,318,1,16,2022-10-27,0.77,71,158,7,289866
43577586,T302 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81262,-71.20653,Entire home/apt,330,1,30,2022-11-22,1.12,71,164,14,289866
43577826,T303 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81443,-71.20547,Entire home/apt,294,1,5,2021-10-27,0.17,71,217,0,289866
43578469,T401 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81425,-71.20568,Entire home/apt,461,1,46,2022-11-20,1.54,71,185,15,289866
43578805,T402 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81382,-71.20536,Entire home/apt,342,1,40,2022-11-13,1.38,71,160,20,289866
43579004,T403 - Lofts du Trésor,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81413,-71.20581,Entire home/apt,306,1,8,2022-05-22,0.29,71,220,3,289866
43579093,Cozy apartment in the heart of downtown,228201730,Félix,,Saint-Sauveur,46.8125,-71.23597,Entire home/apt,90,2,19,2021-08-05,0.64,1,0,0,
43595902,Québec City Best Place,348033851,Dalila,,Maizerets,46.83963,-71.22226,Entire home/apt,260,1,60,2022-10-05,2.07,2,365,42,30118
43610332,SP101 - Lofts St-Pierre,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81626,-71.20221,Entire home/apt,250,1,20,2022-05-29,0.66,71,192,2,296547
43678893,SP102 - Les Lofts St-Pierre,348182481,Lofts St-Pierre,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81635,-71.20408,Entire home/apt,274,1,31,2022-11-13,1.04,15,194,13,296547
43688327,SP103 - Lofts St-Pierre,348182481,Lofts St-Pierre,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81507,-71.20201,Entire home/apt,256,1,17,2022-11-14,0.58,15,215,1,296547
43688526,SP104 - Lofts St-Pierre,348182481,Lofts St-Pierre,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81602,-71.2028,Entire home/apt,262,1,9,2022-10-16,0.30,15,202,2,296547
